,mean,median,std
Interpolation RMSE,1.5524897575378418,1.5394936800003052,0.22737541794776917
Interpolation MAE,1.1934235095977783,1.1812024116516113,0.1758650243282318
Interpolation Spatial corr,0.8476813212190765,0.8700743716071728,0.09485819221706562
Interpolation Std ratio,1.0520312786102295,1.0418819189071655,0.12057065963745117
U-Net T+Elev RMSE,1.1346638202667236,1.0878958702087402,0.28507769107818604
U-Net T+Elev MAE,0.902376115322113,0.8677871227264404,0.2265600711107254
U-Net T+Elev Spatial corr,0.9147962884376092,0.932731415250657,0.05834783872150575
U-Net T+Elev Std ratio,0.9698837995529175,0.9722962379455566,0.1036677435040474
Transformer T+Elev RMSE,1.115092158317566,1.0584688186645508,0.30045101046562195
Transformer T+Elev MAE,0.8840361833572388,0.8421666622161865,0.23904812335968018
Transformer T+Elev Spatial corr,0.9170327512899569,0.9335805594117446,0.055575463894050194
Transformer T+Elev Std ratio,0.929587721824646,0.934861958026886,0.0939878448843956
