,Interpolation RMSE,Interpolation MAE,Interpolation Spatial corr,Interpolation Std ratio,U-Net T+Elev RMSE,U-Net T+Elev MAE,U-Net T+Elev Spatial corr,U-Net T+Elev Std ratio,Transformer T+Elev RMSE,Transformer T+Elev MAE,Transformer T+Elev Spatial corr,Transformer T+Elev Std ratio
2022-06-01,1.9745157,1.57024,0.9596679867615004,0.93827593,1.8549869,1.4841204,0.9593389848740371,0.89602226,1.949048,1.5988036,0.958297517602654,0.8582318
2022-06-02,1.8157321,1.3929659,0.9462598816061175,1.1036403,1.1142427,0.8773645,0.9711360630032927,1.0573715,1.091479,0.85402465,0.9703867620404867,1.0128424
2022-06-03,1.6606474,1.3585299,0.9074565248361325,0.98283637,1.4361299,1.1050632,0.9129029853186463,0.9524293,1.3480846,1.0424984,0.9234821068499477,0.9022292
2022-06-04,1.5543002,1.1997184,0.9286658723575713,1.0353637,0.9711337,0.773734,0.9642283801860917,1.0013844,0.97008914,0.7711032,0.9638721389433934,0.94566596
2022-06-05,1.5992965,1.2661386,0.910485560074597,1.1972308,1.0908926,0.86349297,0.9519318837749835,1.2088647,0.94899404,0.7480031,0.9559726794063631,1.1270491
2022-06-06,1.7884599,1.4214302,0.8532195409938951,1.2106739,1.025932,0.84113735,0.9325405258875002,1.154138,0.98636085,0.8003746,0.9332430191980197,1.047856
2022-06-07,1.473802,1.1188744,0.8516157767390944,0.9077493,1.135515,0.9067867,0.9246758751123348,0.8622997,1.0794786,0.86010236,0.9361021219651495,0.82595587
2022-06-08,1.7048258,1.2972765,0.9326684533294097,1.0285497,0.9833773,0.78195226,0.9703518004181455,0.99634707,0.9663905,0.76730573,0.9719592055970958,0.94568646
2022-06-09,1.3863373,1.0323322,0.9604679785797183,0.94864833,1.100859,0.88526195,0.9802061122226099,0.9200855,1.1480805,0.90622556,0.9805630722132133,0.8871588
2022-06-10,1.2992784,0.9910077,0.9084269728969899,1.0331489,0.8841207,0.7005219,0.9545783842822194,1.0577908,0.8127731,0.6409201,0.9590222735646148,1.0142714
2022-06-11,1.5904827,1.2232602,0.7221928632279424,0.9774618,1.0880904,0.85849786,0.8398415719920403,0.9554502,1.0569534,0.8235226,0.8461109663360367,0.95573306
2022-06-12,1.5982398,1.2145306,0.7740443326754526,1.0183065,1.0117056,0.82301563,0.8937760861651524,0.97736704,1.0443804,0.81806797,0.8815261696705877,0.9022897
2022-06-13,1.7595154,1.3362811,0.9431820781703225,1.0936329,0.98156315,0.7691054,0.9759705480679141,1.0131074,1.0123242,0.8129245,0.9759350945888262,0.9687089
2022-06-14,1.6143192,1.2013531,0.8314611028375074,1.1329685,1.198167,0.90787065,0.9035513786437597,1.0979974,1.1055245,0.82155466,0.903288437540025,1.0015718
2022-06-15,1.6548232,1.2604517,0.8564222079751356,1.1496122,1.0637538,0.8336965,0.9221816256390761,1.0187218,1.0752048,0.8184833,0.9165858479520868,0.94809294
2022-06-16,1.6193908,1.275701,0.9210356443631804,0.97552073,1.3434589,1.0806487,0.9373265746885283,0.9049277,1.4872283,1.1879487,0.9296713116709915,0.8118943
2022-06-17,1.6379265,1.1971956,0.9292059778084961,1.0540249,1.0027492,0.7909469,0.971424969740683,0.9677129,1.0127721,0.8152763,0.9710982070360222,0.9376482
2022-06-18,2.4984274,1.89992,0.8917339818275004,0.8621299,2.66455,2.152625,0.927597242799906,0.84971714,2.721399,2.1841042,0.9251927373712459,0.8360938
2022-06-19,1.1554439,0.92344886,0.9745040599901761,1.0454955,1.1788238,0.93874216,0.9804971035155668,0.98532814,1.1188666,0.8845405,0.9819539573119811,0.972161
2022-06-20,1.4338787,1.1216466,0.9026928558507072,1.1045865,0.8756685,0.6964246,0.9530642027116497,1.0586126,0.8487533,0.6826681,0.9512919472628386,0.9939106
2022-06-21,1.953846,1.5347078,0.9260315358081045,1.189487,1.3077295,1.0891439,0.9508913191891948,1.0753422,1.3416538,1.1024112,0.9459833449373704,1.0220251
2022-06-22,1.9853475,1.5869497,0.939699798201124,0.9695399,1.725116,1.3890957,0.9577168425014508,0.8868437,1.8097969,1.4501113,0.9601973089971991,0.816539
2022-06-23,1.6431901,1.2490628,0.8584389082215326,1.0454298,1.2553161,0.98998255,0.890127474771668,1.0088527,1.1983507,0.95895034,0.8952703566440745,0.92598826
2022-06-24,1.750422,1.3598549,0.6893466337342369,1.3924702,1.1058666,0.8985719,0.8112574434437081,1.1857969,1.0190467,0.8164512,0.8243765969351654,1.0734644
2022-06-25,1.9876153,1.4564766,0.5312896009546675,1.5825673,1.2046623,0.99148643,0.7642160563415674,1.1962252,1.2002188,0.9641027,0.7685038946295488,1.147355
2022-06-26,1.9704638,1.4493532,0.6137573311558941,1.4858571,1.0248519,0.8451291,0.8427989580157672,1.0496541,0.9939789,0.79933393,0.8533121605126897,1.0423384
2022-06-27,1.4098324,1.0908087,0.8434860526275988,1.0868441,1.2397507,1.0011915,0.9177625419323024,1.0581189,1.1383004,0.94495815,0.9239917202912342,1.0009464
2022-06-28,1.3592094,1.0541362,0.8178031435543207,1.1377157,0.8760164,0.690693,0.9197488551555325,1.1555115,0.7860345,0.6161889,0.9279233584441331,1.1020795
2022-06-29,1.5738273,1.1710033,0.8018113991357543,1.14668,0.8654086,0.6879738,0.9390626896520333,1.0007915,0.81103307,0.65040684,0.9408716059796403,0.97950923
2022-06-30,1.5294496,1.1487781,0.9150925581668772,1.0899819,0.7722448,0.6185144,0.9742705058232378,1.0297905,0.71601486,0.55432236,0.9772136822256987,0.9627965
2022-07-01,1.653821,1.2413436,0.7980600735458585,1.2209535,0.9932786,0.79814607,0.9114867144646505,0.9782857,0.9468308,0.753755,0.9211341394870569,0.96455985
2022-07-02,1.4394954,1.1045134,0.8571004916867433,1.0323826,0.9626366,0.7724423,0.9481860430545755,0.94194806,0.9315957,0.74616915,0.95041087767497,0.9513551
2022-07-03,1.3730608,1.0528798,0.8876918429212551,1.0986667,0.81661457,0.6411822,0.957270150687167,1.0269688,0.7327546,0.5706968,0.962523122820316,0.9952677
2022-07-04,1.371415,1.0514406,0.897345917212567,1.038213,0.78379005,0.6214677,0.9641532783303418,0.9906052,0.8147675,0.65220016,0.9601742497438753,0.9245758
2022-07-05,1.7258012,1.306787,0.8669718580206496,0.8996191,1.5752838,1.1078731,0.9111334892045192,0.85362846,1.5239694,1.0658715,0.9134298947729583,0.8276041
2022-07-06,1.4389352,1.0877131,0.9425533062652055,1.0669913,0.8861853,0.7056862,0.9754232226162151,1.0173634,0.78575236,0.61351216,0.9797832610547353,0.9603487
