,Interpolation RMSE,Interpolation MAE,Interpolation Bias,U-Net T+Elev RMSE,U-Net T+Elev MAE,U-Net T+Elev Bias,Transformer T+Elev RMSE,Transformer T+Elev MAE,Transformer T+Elev Bias,Transformer T+Dew Point+Elev RMSE,Transformer T+Dew Point+Elev MAE,Transformer T+Dew Point+Elev Bias,Truth Tmax mean (deg C),Dew point mean (deg C),Transformer dew-point RMSE benefit,Transformer T+Elev minus U-Net T+Elev RMSE
2022-06-01,1.9745157,1.57024,-0.802886,1.8549869,1.4841204,-0.1251862,1.949048,1.5988036,-0.21436958,1.8653538,1.5197237,-0.07682855,24.254023,14.048169,0.08369422,-0.094061136
2022-06-02,1.8157321,1.3929659,-1.0020475,1.1142427,0.8773645,-0.31832772,1.091479,0.85402465,-0.3538292,1.0926293,0.86898446,-0.1872002,24.257856,14.729773,-0.0011503696,0.02276373
2022-06-03,1.6606474,1.3585299,-0.7237611,1.4361299,1.1050632,-0.024839254,1.3480846,1.0424984,-0.085354544,1.3995627,1.073416,-0.09925749,22.41456,11.686384,-0.051478148,0.08804536
2022-06-04,1.5543002,1.1997184,-0.67622685,0.9711337,0.773734,-0.03360559,0.97008914,0.7711032,-0.062163018,0.9660209,0.7688239,0.07026819,23.392042,8.827355,0.0040682554,0.0010445714
2022-06-05,1.5992965,1.2661386,-0.8654742,1.0908926,0.86349297,-0.2200531,0.94899404,0.7480031,-0.27656665,1.1394101,0.9146933,-0.52389246,22.83113,6.657612,-0.1904161,0.14189851
2022-06-06,1.7884599,1.4214302,-1.0056956,1.025932,0.84113735,-0.26584834,0.98636085,0.8003746,-0.44158515,0.9058922,0.73364216,-0.2742912,25.121902,9.336909,0.080468655,0.039571106
2022-06-07,1.473802,1.1188744,-0.22228135,1.135515,0.9067867,0.3902855,1.0794786,0.86010236,0.35728872,1.3602291,1.05729,0.85590535,23.640177,12.971812,-0.2807505,0.056036353
2022-06-08,1.7048258,1.2972765,-0.84077823,0.9833773,0.78195226,-0.1846962,0.9663905,0.76730573,-0.22372442,0.9475653,0.76241326,0.045964528,24.490135,14.635913,0.018825173,0.016986787
2022-06-09,1.3863373,1.0323322,-0.18228894,1.100859,0.88526195,0.41289082,1.1480805,0.90622556,0.411583,1.0922819,0.86812603,0.35133535,21.23144,13.85278,0.05579853,-0.047221422
2022-06-10,1.2992784,0.9910077,-0.44859594,0.8841207,0.7005219,0.06948228,0.8127731,0.6409201,0.09785668,0.8252075,0.6505131,-0.07120275,22.669838,10.336435,-0.012434363,0.071347594
2022-06-11,1.5904827,1.2232602,-0.7319722,1.0880904,0.85849786,-0.23264138,1.0569534,0.8235226,-0.17619936,1.0253876,0.77997833,0.037292793,23.11711,11.488964,0.031565785,0.03113699
2022-06-12,1.5982398,1.2145306,-0.5533802,1.0117056,0.82301563,0.08604251,1.0443804,0.81806797,0.020659672,1.0793114,0.8579552,0.34469688,24.540827,14.354276,-0.034930944,-0.03267479
