Model,Feature,Top 10% RMSE mean,Other cells mean,Difference high-minus-other
U-Net T+Elev,elevation,246.9471393659654,289.1792072088681,-42.232067842902694
U-Net T+Elev,slope,0.015566527016037513,0.016046704199358944,-0.000480177183321431
U-Net T+Elev,aspect_sin,0.07912987515790057,0.03532402764973639,0.04380584750816418
U-Net T+Elev,aspect_cos,0.12645490636537277,0.028383636225251502,0.09807127014012126
U-Net T+Elev,roughness,57.501660167588525,59.66661246422749,-2.1649522966389654
U-Net T+Elev,local_relief,219.25517417661513,227.15778359718385,-7.902609420568723
U-Net T+Elev,urban_fraction,0.012234070338308811,0.022863293066620827,-0.010629222728312016
Transformer T+Elev,elevation,297.8651391608004,283.5212560428546,14.343883117945836
Transformer T+Elev,slope,0.019185440256838836,0.015644574609174795,0.003540865647664041
Transformer T+Elev,aspect_sin,0.0646931871335834,0.03692821627006087,0.027764970863522524
Transformer T+Elev,aspect_cos,0.0989499654504726,0.031439954484956144,0.06751001096551645
Transformer T+Elev,roughness,68.81853257658177,58.40909426437503,10.409438312206746
Transformer T+Elev,local_relief,258.7885637935626,222.7648775761119,36.02368621745072
Transformer T+Elev,urban_fraction,0.014382126741111279,0.022624606266617775,-0.008242479525506496
