,Interpolation RMSE,Interpolation MAE,Interpolation Bias,Interpolation Spatial corr,U-Net T+Elev RMSE,U-Net T+Elev MAE,U-Net T+Elev Bias,U-Net T+Elev Spatial corr,Transformer T+Elev RMSE,Transformer T+Elev MAE,Transformer T+Elev Bias,Transformer T+Elev Spatial corr,Truth Tmax mean (deg C),Truth Tmax p95 (deg C),Dew point mean (deg C),Solar radiation mean (MJ m-2 day-1),U-Net minus Transformer RMSE,Transformer beats U-Net,U-Net beats interpolation,Transformer beats interpolation,Temperature regime,Humidity regime,Cloud regime,Hot and cloudy,Hot and humid,Cool and cloudy
2022-06-01,1.9745157,1.57024,-0.802886,0.9596679867615014,1.8549869,1.4841204,-0.1251862,0.9593389848740371,1.949048,1.5988036,-0.21436958,0.9582975176026539,24.254023,33.649993896484375,14.048169,0.8734825,-0.094061136,False,True,True,Cool,Dry,Partly cloudy,False,False,False
2022-06-02,1.8157321,1.3929659,-1.0020475,0.9462598816061172,1.1142427,0.8773645,-0.31832772,0.9711360630032927,1.091479,0.85402465,-0.3538292,0.9703867620404871,24.257856,32.850006103515625,14.729773,0.7727749,0.02276373,True,True,True,Cool,Moderate humidity,Cloudy,False,False,True
2022-06-03,1.6606474,1.3585299,-0.7237611,0.9074565248361337,1.4361299,1.1050632,-0.024839254,0.9129029853186464,1.3480846,1.0424984,-0.085354544,0.9234821068499479,22.41456,26.649993896484375,11.686384,0.9191432,0.08804536,True,True,True,Cool,Dry,Partly cloudy,False,False,False
2022-06-04,1.5543002,1.1997184,-0.67622685,0.9286658723575714,0.9711337,0.773734,-0.03360559,0.964228380186092,0.97008914,0.7711032,-0.062163018,0.9638721389433935,23.392042,28.850006103515625,8.827355,1.1487103,0.0010445714,True,True,True,Cool,Dry,Sunny,False,False,False
2022-06-05,1.5992965,1.2661386,-0.8654742,0.9104855600745968,1.0908926,0.86349297,-0.2200531,0.9519318837749833,0.94899404,0.7480031,-0.27656665,0.9559726794063631,22.83113,26.550018310546875,6.657612,1.1581764,0.14189851,True,True,True,Cool,Dry,Sunny,False,False,False
2022-06-06,1.7884599,1.4214302,-1.0056956,0.8532195409938956,1.025932,0.84113735,-0.26584834,0.9325405258875005,0.98636085,0.8003746,-0.44158515,0.9332430191980199,25.121902,27.95001220703125,9.336909,1.022869,0.039571106,True,True,True,Cool,Dry,Sunny,False,False,False
2022-06-07,1.473802,1.1188744,-0.22228135,0.8516157767390937,1.135515,0.9067867,0.3902855,0.9246758751123352,1.0794786,0.86010236,0.35728872,0.9361021219651491,23.640177,27.649993896484375,12.971812,0.74938625,0.056036353,True,True,True,Cool,Dry,Cloudy,False,False,True
2022-06-08,1.7048258,1.2972765,-0.84077823,0.9326684533294083,0.9833773,0.78195226,-0.1846962,0.9703518004181446,0.9663905,0.76730573,-0.22372442,0.9719592055970953,24.490135,31.350006103515625,14.635913,0.88782364,0.016986787,True,True,True,Cool,Moderate humidity,Partly cloudy,False,False,False
2022-06-09,1.3863373,1.0323322,-0.18228894,0.9604679785797188,1.100859,0.88526195,0.41289082,0.9802061122226094,1.1480805,0.90622556,0.411583,0.9805630722132135,21.23144,29.350006103515625,13.85278,0.74191386,-0.047221422,False,True,True,Cool,Dry,Cloudy,False,False,True
2022-06-10,1.2992784,0.9910077,-0.44859594,0.9084269728969898,0.8841207,0.7005219,0.06948228,0.9545783842822202,0.8127731,0.6409201,0.09785668,0.9590222735646138,22.669838,26.95001220703125,10.336435,1.010743,0.071347594,True,True,True,Cool,Dry,Sunny,False,False,False
