Condition,n days,Mean interpolation RMSE,Mean U-Net RMSE,Mean Transformer RMSE,Transformer beats U-Net (%),U-Net worse than interpolation (%),Transformer worse than interpolation (%)
All days,368,1.5524898,1.1346638,1.1150922,61.141304347826086,4.076086956521739,4.076086956521739
Hot,123,1.6480573,1.1748356,1.1617278,55.28455284552846,0.8130081300813009,0.8130081300813009
Wet,123,1.5212262,1.1690844,1.1626049,56.91056910569105,7.317073170731707,8.130081300813007
Windy,123,1.5028338,1.1365538,1.1273097,56.09756097560976,6.504065040650407,7.317073170731707
Cloudy,123,1.5714421,1.2059383,1.1988527,56.91056910569105,4.878048780487805,4.878048780487805
Rainy day >=1 mm/day,329,1.5414126,1.1336329,1.11627,59.87841945288754,4.5592705167173255,4.5592705167173255
Very wet top 10%,37,1.4675636,1.0944678,1.0925628,48.64864864864865,5.405405405405405,5.405405405405405
Very windy top 10%,37,1.4513388,1.0942389,1.0733817,59.45945945945946,10.81081081081081,8.108108108108109
Very cloudy top 10%,37,1.5836437,1.2180325,1.2121629,54.054054054054056,5.405405405405405,2.7027027027027026
Hot and wet,22,1.5822254,1.2134976,1.218117,50.0,4.545454545454546,4.545454545454546
Hot and cloudy,24,1.651947,1.2175958,1.2023267,66.66666666666666,0.0,0.0
Hot and humid,84,1.6535094,1.2384332,1.2166741,59.523809523809526,1.1904761904761905,1.1904761904761905
